Mun_analises22_id,Numero_de_Vendas_para_o_Exterior,Valor_total_das_Exportacoes,Valor_medio_das_Exportacoes
Cristais Paulista,2,"$193,362","$96,681"
Cruz do Espírito Santo,2,"$49,735","$24,868"
Cupira,2,"$2,203","$1,102"
Diamante D'Oeste,2,"$96,212","$48,106"
Dilermando de Aguiar,2,"$8,463","$4,232"
Dionísio,2,"$1,917",$958
Dobrada,2,"$12,132","$6,066"
Engenheiro Caldas,2,"$56,094","$28,047"
Ervália,2,"$144,333","$72,166"
Floresta,2,"$328,716","$164,358"
Formosa do Oeste,2,"$8,971","$4,486"
Fortim,2,"$183,512","$91,756"
Francisco Morato,2,"$3,545","$1,772"
Gandu,2,"$208,146","$104,073"
Giruá,2,"$2,477,495","$1,238,748"
Glória,2,"$133,000","$66,500"
Gonçalves,2,"$4,507","$2,254"
Grão Mogol,2,"$62,164","$31,082"
Guaraqueçaba,2,"$59,309","$29,654"
Iapu,2,"$1,406",$703
Igarapé do Meio,2,"$172,535","$86,268"
Ipê,2,"$11,751","$5,876"
Iraceminha,2,"$8,124","$4,062"
Irineópolis,2,"$181,085","$90,542"
Itacaré,2,"$6,173","$3,086"
Itanhaém,2,"$1,307",$654
Itaúna do Sul,2,"$16,433","$8,216"
Josenópolis,2,"$3,886,169","$1,943,084"
Juruti,2,"$2,338,592","$1,169,296"
Jussara,2,"$17,667","$8,834"
Lago do Junco,2,"$229,990","$114,995"
Lagoa Nova,2,$500,$250
Lavrinhas,2,"$1,294",$647
Mamborê,2,"$390,110","$195,055"
Marilena,2,"$1,159",$580
Mata Verde,2,"$68,045","$34,022"
Mata de São João,2,$946,$473
Mateiros,2,"$4,512","$2,256"
Matinhos,2,"$8,415","$4,208"
Maués,2,"$75,209","$37,604"
Mercedes,2,"$68,699","$34,350"
Miguel Calmon,2,"$247,735","$123,868"
Minas do Leão,2,"$63,490","$31,745"
Miraí,2,"$17,506","$8,753"
Novo São Joaquim,2,"$1,025,199","$512,600"
Paraúna,2,"$8,131","$4,066"
Passo do Sobrado,2,"$10,857","$5,428"
Pavão,2,"$56,665","$28,332"
Pedro II,2,"$61,600","$30,800"
Peixe,2,"$1,054,480","$527,240"
Pendências,2,"$3,735,174","$1,867,587"
Perdões,2,"$28,032","$14,016"
Piranga,2,$140,$70
Posse,2,"$651,403","$325,702"
Prados,2,"$10,673","$5,336"
Presidente Médici,2,"$2,126","$1,063"
Presidente Olegário,2,"$168,895","$84,448"
Presidente Venceslau,2,"$17,395","$8,698"
Quatiguá,2,"$233,803","$116,902"
Ribeirão Corrente,2,"$295,080","$147,540"
Rio Acima,2,"$23,451","$11,726"
Rio das Antas,2,"$15,427","$7,714"
Roncador,2,"$229,612","$114,806"
Rubiataba,2,"$2,165","$1,082"
Sales,2,"$241,000","$120,500"
Santa Cruz da Esperança,2,"$46,169","$23,084"
Santa Helena de Goiás,2,"$408,276","$204,138"
Santana do Acaraú,2,"$393,456","$196,728"
Santo Antônio do Jardim,2,"$82,840","$41,420"
Santo Antônio do Pinhal,2,"$35,324","$17,662"
Santo Antônio do Tauá,2,"$331,690","$165,845"
Sobrália,2,"$1,426",$713
Solonópole,2,"$101,800","$50,900"
Sumidouro,2,"$3,324","$1,662"
São José do Divino,2,"$2,068","$1,034"
São José do Seridó,2,"$23,342","$11,671"
São João do Manteninha,2,"$1,075",$538
São Lourenço,2,"$9,829","$4,914"
Tapiraí,2,"$9,416","$4,708"
Terra Boa,2,"$643,682","$321,841"
Tianguá,2,"$29,347","$14,674"
Treviso,2,"$3,738","$1,869"
Treze de Maio,2,"$8,083","$4,042"
Turuçu,2,"$7,551","$3,776"
Urucará,2,"$244,196","$122,098"
Uruçuca,2,"$5,682","$2,841"
Vicentina,2,"$296,937","$148,468"
Vila Pavão,2,"$216,930","$108,465"
Vila Rica,2,"$97,121","$48,560"
Érico Cardoso,2,"$251,368","$125,684"
Goiânia,1794,"$183,881,566","$102,498"
Acopiara,3,"$6,562","$2,187"
Alambari,3,"$18,998","$6,333"
Amontada,3,"$71,040","$23,680"
Arvoredo,3,"$39,479","$13,160"
Assis Brasil,3,"$139,946","$46,649"
Assis Chateaubriand,3,"$2,656,485","$885,495"
Baixa Grande,3,"$67,199","$22,400"
Bofete,3,"$87,779","$29,260"
Bonito,3,"$324,677","$108,226"
Borba,3,"$401,968","$133,989"
Botelhos,3,"$5,710","$1,903"
Breves,3,"$184,337","$61,446"
Cabo Verde,3,"$116,901","$38,967"
Campos do Jordão,3,"$3,086","$1,029"
Caracaraí,3,$0,$0
Carmópolis de Minas,3,"$64,353","$21,451"
Casserengue,3,"$236,624","$78,875"
Caçu,3,"$440,214","$146,738"
Chavantes,3,"$51,231","$17,077"
Corumbaíba,3,"$11,792","$3,931"
Crateús,3,"$2,120",$707
Cássia,3,"$193,837","$64,612"
Entre Rios do Oeste,3,"$69,956","$23,319"
Franciscópolis,3,"$86,565","$28,855"
Gramado dos Loureiros,3,"$5,083","$1,694"
Ibirá,3,"$32,565","$10,855"
Ilópolis,3,"$57,659","$19,220"
Ipiaú,3,"$3,479","$1,160"
Itamonte,3,"$7,318","$2,439"
Jacinto Machado,3,"$532,479","$177,493"
Japoatã,3,"$149,865","$49,955"
Jitaúna,3,"$131,046","$43,682"
Lapão,3,"$773,243","$257,748"
Marianópolis do Tocantins,3,"$111,405","$37,135"
Moema,3,"$345,200","$115,067"
Murici,3,"$70,403","$23,468"
Normandia,3,"$7,284","$2,428"
Nova Módica,3,"$1,130",$377
